observation_date,CPIUKA
1795-01-01,1.15
1796-01-01,1.18
1797-01-01,1.06
1798-01-01,1.07
1799-01-01,1.30
1800-01-01,1.69
1801-01-01,1.59
1802-01-01,1.23
1803-01-01,1.21
1804-01-01,1.30
1805-01-01,1.46
1806-01-01,1.40
1807-01-01,1.39
1808-01-01,1.46
1809-01-01,1.60
1810-01-01,1.61
1811-01-01,1.64
1812-01-01,1.82
1813-01-01,1.83
1814-01-01,1.65
1815-01-01,1.41
1816-01-01,1.54
1817-01-01,1.56
1818-01-01,1.52
1819-01-01,1.46
1820-01-01,1.36
1821-01-01,1.26
1822-01-01,1.16
1823-01-01,1.20
1824-01-01,1.25
1825-01-01,1.32
1826-01-01,1.26
1827-01-01,1.20
1828-01-01,1.21
1829-01-01,1.24
1830-01-01,1.20
1831-01-01,1.22
1832-01-01,1.17
1833-01-01,1.13
1834-01-01,1.10
1835-01-01,1.06
1836-01-01,1.16
1837-01-01,1.20
1838-01-01,1.25
1839-01-01,1.29
1840-01-01,1.28
1841-01-01,1.26
1842-01-01,1.19
1843-01-01,1.09
1844-01-01,1.13
1845-01-01,1.13
1846-01-01,1.26
1847-01-01,1.36
1848-01-01,1.16
1849-01-01,1.11
1850-01-01,1.07
1851-01-01,1.04
1852-01-01,1.06
1853-01-01,1.22
1854-01-01,1.32
1855-01-01,1.35
1856-01-01,1.35
1857-01-01,1.32
1858-01-01,1.19
1859-01-01,1.20
1860-01-01,1.29
1861-01-01,1.31
1862-01-01,1.30
1863-01-01,1.25
1864-01-01,1.23
1865-01-01,1.25
1866-01-01,1.33
1867-01-01,1.41
1868-01-01,1.36
1869-01-01,1.27
1870-01-01,1.28
1871-01-01,1.31
1872-01-01,1.37
1873-01-01,1.38
1874-01-01,1.32
1875-01-01,1.30
1876-01-01,1.30
1877-01-01,1.30
1878-01-01,1.26
1879-01-01,1.20
1880-01-01,1.23
1881-01-01,1.21
1882-01-01,1.22
1883-01-01,1.22
1884-01-01,1.17
1885-01-01,1.13
1886-01-01,1.12
1887-01-01,1.10
1888-01-01,1.10
1889-01-01,1.11
1890-01-01,1.11
1891-01-01,1.12
1892-01-01,1.12
1893-01-01,1.10
1894-01-01,1.07
1895-01-01,1.06
1896-01-01,1.06
1897-01-01,1.08
1898-01-01,1.10
1899-01-01,1.09
1900-01-01,1.13
1901-01-01,1.13
1902-01-01,1.13
1903-01-01,1.14
1904-01-01,1.14
1905-01-01,1.14
1906-01-01,1.14
1907-01-01,1.16
1908-01-01,1.17
1909-01-01,1.17
1910-01-01,1.20
1911-01-01,1.20
1912-01-01,1.24
1913-01-01,1.24
1914-01-01,1.28
1915-01-01,1.43
1916-01-01,1.69
1917-01-01,2.12
1918-01-01,2.59
1919-01-01,2.85
1920-01-01,3.29
1921-01-01,3.01
1922-01-01,2.58
1923-01-01,2.43
1924-01-01,2.41
1925-01-01,2.42
1926-01-01,2.40
1927-01-01,2.34
1928-01-01,2.34
1929-01-01,2.31
1930-01-01,2.25
1931-01-01,2.15
1932-01-01,2.10
1933-01-01,2.05
1934-01-01,2.05
1935-01-01,2.07
1936-01-01,2.08
1937-01-01,2.15
1938-01-01,2.19
1939-01-01,2.25
1940-01-01,2.63
1941-01-01,2.91
1942-01-01,3.12
1943-01-01,3.22
1944-01-01,3.31
1945-01-01,3.40
1946-01-01,3.51
1947-01-01,3.75
1948-01-01,4.04
1949-01-01,4.16
1950-01-01,4.32
1951-01-01,4.71
1952-01-01,5.21
1953-01-01,5.40
1954-01-01,5.52
1955-01-01,5.80
1956-01-01,6.10
1957-01-01,6.34
1958-01-01,6.52
1959-01-01,6.56
1960-01-01,6.61
1961-01-01,6.83
1962-01-01,7.11
1963-01-01,7.26
1964-01-01,7.50
1965-01-01,7.82
1966-01-01,8.13
1967-01-01,8.31
1968-01-01,8.64
1969-01-01,9.09
1970-01-01,9.69
1971-01-01,10.60
1972-01-01,11.36
1973-01-01,12.42
1974-01-01,14.38
1975-01-01,17.64
1976-01-01,20.40
1977-01-01,23.45
1978-01-01,25.20
1979-01-01,28.07
1980-01-01,32.32
1981-01-01,36.14
1982-01-01,39.07
1983-01-01,41.00
1984-01-01,42.74
1985-01-01,44.84
1986-01-01,46.34
1987-01-01,47.82
1988-01-01,49.62
1989-01-01,52.22
1990-01-01,55.86
1991-01-01,60.07
1992-01-01,62.63
1993-01-01,64.20
1994-01-01,65.47
1995-01-01,67.21
1996-01-01,68.82
1997-01-01,70.07
1998-01-01,71.17
1999-01-01,72.11
2000-01-01,72.69
2001-01-01,73.58
2002-01-01,74.51
2003-01-01,75.52
2004-01-01,76.54
2005-01-01,78.11
2006-01-01,79.93
2007-01-01,81.79
2008-01-01,84.73
2009-01-01,86.57
2010-01-01,89.42
2011-01-01,93.41
2012-01-01,96.06
2013-01-01,98.52
2014-01-01,99.96
2015-01-01,100.00
2016-01-01,100.66
